	txt	labels
21736	actions, private as well as public; nor the latter, because they will	0
20372	tossing about in some region which is half-way between pure being and	0
23405	hour; and sometimes he is lapped in drink and strains of the flute; then	0
20902	a small remnant: perchance some noble and well-educated person, detained	0
19175	capable of sharing either wholly or partially in the actions of men, or	0
25504	they encamped as at a festival; and those who knew one another embraced	0
7701	characteristics as well as the rhythms. but about this you and i must	0
6676	corrupters of the world. he also becomes more dogmatic and constructive,	0
25631	consider the bearing of all these things which have been mentioned	0
19388	yes, he said, that is a much greater wave than the other; and	0
22786	with gold, and hence there will arise dissimilarity and inequality and	0
18466	justice. can you tell me whence i derive this inference?	0
7799	corrupted by crime. where then is he to gain experience? how is he to be	0
18776	yourself, nor, as i should imagine, in any one else?	0
20406	view of both of them if the discussion could have been confined to this	0
13850	to believe that the idea of creation in the timaeus is derived from the	0
15693	benefits which the heavens, as they say, rain upon the pious; and this	0
11431	would be ashamed to utter, and the love of coarse merriment on the stage	0
3652	he is indisposed, said professor grubbly-plank shortly.	1
574	thanks very much, said mr. weasley.	1
21683	eye, quite as much as of the bodily eye; and he who remembers this when	0
2825	cedric stared at him.  harry saw some of the panic he'd been feeling since saturday night flickering in cedric's gray eyes.	1
16753	'gifts persuading gods, and persuading reverend kings.'	0
634	just apparated, dad, said percy loudly.  ah, excellent, lunch!	1
21326	actual nature of the good, for to reach what is now in my thoughts	0
20039	may we be satisfied with an approximation, and the attainment in him of	0
24423	they are mere shadows and pictures of the true, and are coloured by	0
7455	a treatise on political economy are scattered up and down the writings	0
17208	nature, as grace and harmony are the twin sisters of goodness and virtue	0
3826	yeah, he is, said ron. can i have one of these cakes, hagrid?	1
18926	compared to the higher, lower, and middle notes of the scale, and the	0
7719	all these influences the greatest is the education given by music,	0
10774	is the divine number afterwards mentioned (arist.). the second is the	0
22175	the spangled heavens should be used as a pattern and with a view to that	0
15164	answer me. you say that perfect injustice is more gainful than perfect	0
24212	i cannot myself tell, he said.	0
23102	him a reputation for honesty he coerces his bad passions by an enforced	0
15744	and avert their wrath by sacrifices and soothing entreaties, and by	0
1302	mum! said ron irritably.  what d'you three know that we don't?	1
12974	are philosophers or philosophers are kings, cities will never cease	0
11474	of the food is communicated to the body. neither can the soul, which	0
16538	'was celebrating in song her fair progeny whose days were to be long,	0
17828	their rulers. let them look round and select a spot whence they can best	0
1076	mr. crouch took a step backward, freeing himself from contact with the elf, whom he was surveying as though she were something filthy and rotten that was contaminating his over-shined shoes.	1
1473	professor dumbledore had gotten to his feet.  he was smiling around at the students, his arms opened wide in welcome.	1
6684	the universal and of final causes (cp. xen. mem.; phaedo); and a deep	0
25123	as we maintain, the imitative poet implants an evil constitution, for he	0
11056	ascendant, and they have their several pleasures corresponding to them.	0
11115	full of gluttony and sensuality, and ready to kill one another by reason	0
17825	make them care more for the city and for one another. enough, however,	0
17230	there can be no nobler training than that, he replied.	0
25794	or pglaf), owns a compilation copyright in the collection of project	0
1246	harry flattened himself against the wall as mr. weasley came clattering past with his robes on back-to-front and hurtled out of sight.  when harry and the others entered the kitchen, they saw mrs. weasley rummaging anxiously in the drawers - i've got a quill here somewhere! - and mr. weasley bending over the fire, talking to -	1
4936	fawkes, professor dumbledore's phoenix, was standing on his golden perch beside the door.  the size of a swan, with magnificent scarlet-and-gold plumage, he swished his long tail and blinked benignly at harry.	1
3198	chapter twenty-two - the unexpected task	1
20876	yes; and what else would you expect, i said, when you think of the puny	0
19267	then we may hope to show him that there is nothing peculiar in the	0
3416	he sounds exactly like moody, said harry quietly, tucking the letter away again inside his robes. 'constant vigilance!'  you'd think i walk around with my eyes shut, banging off the walls. ...	1
16993	imagine that he will like to personate him, and will not be ashamed of	0
19958	that is a very proper distinction, he replied.	0
13039	he is warmed and elevated. the hebrew prophet believed that faith in	0
19150	yes, indeed, he said: according to present notions the proposal would be	0
16690	good. but nobody else should meddle with anything of the kind; and	0
2884	harry, i really think you've got it! said hermione delightedly.	1
16716	'o heavy with wine, who hast the eyes of a dog and the heart of a stag,'	0
15289	them, but with extreme reluctance; it was a hot summer's day, and the	0
7445	on the imagination of mankind, but he does not seriously mean to say	0
3731	wonder if i could have a quick, private word, harry?  said bagman eagerly.  you couldn't give us a moment, you two, could you?	1
3737	he gave a short, booming laugh.	1
13438	have conceived the world as the correlation of abstractions; and not	0
2316	harry could tell he was trying to sound disdainful, as though what moody was saying was barely worth his notice, but his hands gave him away; they had balled themselves into fists.	1
10861	the reasons which have inclined me to agree with dr. donaldson and also	0
6724	state and the other paradoxes of the republic are quite in accordance,	0
6923	consistent in the use of terms, and not to employ 'physician' in an	0
17482	anxiety about the state of his body.	0
2774	exactly. . . she disappeared in albania, and that's definitely where voldemort was rumored to be last. . . and she would have known the triwizard tournament was coming up, wouldn't she?	1
11442	us with discourtesy, let us also make an apology to her. we will remind	0
12285	good sense. the wealthy and cultivated classes have disliked and also	0
15247	the lyre would desire or claim to exceed or go beyond a musician in the	0
24464	pleasure, and the king at the least?	0
26036	subscribe to our email newsletter to hear about new ebooks.	0
12701	benefit of it, than when we only felt a vague religious horror about	0
10048	when these sciences hardly existed, to say that they must be studied in	0
22491	to give up the use of sight and the other senses, and in company with	0
21188	magnanimous are not so constituted by nature as to live orderly and in a	0
6406	is in some degree confirmed by the numerous references from one part of	0
23863	yes; and every day and every night desires grow up many and formidable,	0
25091	not, like children who have had a fall, keeping hold of the part struck	0
25578	whiteness second. now the whole spindle has the same motion; but, as the	0
5265	after about fifty yards, they reached a fork.  they looked at each other.	1
16072	how else would you feed the beasts?	0
20334	either, pure and simple; this unknown term, when discovered, we may	0
3011	pigwidgeon was so overexcited at the idea of a delivery he was flying around and around harry's head, hooting incessantly.  ron snatched pigwidgeon out of the air and held him still while harry attached the letter to his leg.	1
4829	of course, said moody, taking a swig from his flask. took a leaf out of your book, potter.  summoned it from my office into the forest.  he wasn't anywhere on there.	1
5087	dumbledore stopped pacing and looked at harry.	1
8361	me, if you see the thicket move first. 'nay, i would have you lead.'	0
19389	the possibility as well as the utility of such a law are far more	0
5246	oh! said mrs. weasley no - of course i didn't!	1
21504	seeking to behold the things themselves, which can only be seen with the	0
25188	of poets and first of tragedy writers; but we must remain firm in our	0
23580	then come impeachments and judgments and trials of one another.	0
13029	having arrived at the idea of good, which is the end of the science of	0
6309	of which is first hinted at by cephalus, the just and blameless old	0
20230	and are we assured, after looking at the matter from many points of	0
25819	access to, the full project gutenberg-tm license must appear prominently	0
17314	may be possible. what do you say?	0
25549	now when the spirits which were in the meadow had tarried seven days,	0
8868	this is a hard saying, which few will be able to receive. 'socrates,	0
13689	dishonesty of retail trade, and bequests, which come more home to us,	0
254	but five o'clock came and then went. uncle vernon, perspiring slightly in his suit, opened the front door, peered up and down the street, then withdrew his head quickly.	1
17330	i am afraid, i said, that a habit of body such as they have is but a	0
2552	but i didn't enter, harry repeated.  i don't know who -	1
18138	any impositions and exactions of market and harbour dues which may	0
24431	action, be in the like case, whether he is envious and ambitious, or	0
7446	that one is better than the other (politicus); nor can any inference	0
12853	'mightiest passions of mankind' (laws), especially when they have	0
9547	(3) the recognition of the hypothetical and conditional character of the	0
20428	if not already ordered, and to guard and preserve the order of them--are	0
1705	beyond cool, said george, sitting down opposite fred.  supercool, said the twins' best friend, lee jordan, sliding into the seat beside george.  we had him this afternoon, he told harry and ron.	1
8598	have imagined that ideas might be constructed in some manner analogous	0
17150	expressions of a courageous and harmonious life; and when we have found	0
18433	has just eyes enough to see what you show him--that is about as much as	0
4630	i vant to know, he said, glowering, vot there is between you and hermy-own-ninny.	1
8729	are paired with inferiors--the latter will ascribe to chance what is	0
22306	of that assertion you may be as confident as of the last.	0
5182	the daily prophet, however, has unearthed worrying facts about harry potter that albus dumbledore, headmaster of hogwarts, has carefully concealed from the wizarding public.	1
21769	have been educated, and you are better able to share in the double duty.	0
447	he suddenly remembered the reason he had written to sirius, and for a moment was on the verge of telling ron and hermione about his scar hurting again, and about the dream that had awoken him ... but he really didn't want to worry them just now, not when he himself was feeling so happy and peaceful.	1
4450	i can try, said ron doubtfully. better not make it sound like i reckon crouch is up to anything dodgy, though. percy loves crouch.	1
1153	hedwig, dear? said mrs. weasley distractedly.  no. . . no, there hasn't been any post at all.	1
3493	harry looked around the hall.  hagrid was sitting at one of the other staff tables; he was back in his horrible hairy brown suit and gazing up at the top table.  harry saw him give a small wave, and looking around, saw madame maxime return it, her opals glittering in the candlelight.	1
11264	as persons in our own day are apt to fancy that a statement is verified	0
8652	women showing their agility in the palaestra will certainly not be a	0
2273	harry moved off along the teachers' table.  hagrid was seated right at the end.  he did not wink at harry, or wave, or give any of his usual signs of greeting.  he looked completely astonished and stared at harry as he passed like everyone else.  harry went through the door out of the great hall and found himself in a smaller room, lined with paintings of witches and wizards.  a handsome fire was roaring in the fireplace opposite him.	1
17298	purpose, and he must first have the other's consent; and this rule is	0
21076	artificer of justice, temperance, and every civil virtue?	0
24563	yes, from every point of view.	0
19852	view of what is hereafter to be their own business; and if there is	0
11954	passages of other english poets,--first and above all in the hebrew	0
7052	he appears to be not wholly satisfied with the manner in which the	0
24680	understanding of the hearers, and that the knowledge of their true	0
20692	nature having in perfection all the qualities which we required in a	0
11193	place he will keep under his body, not only for the sake of health and	0
14344	i will tell you, socrates, he said, what my own feeling is. men of my	0
14651	and the just is the good?	0
16100	dresses. and we shall want more servants. will not tutors be also in	0
17359	yes, he said; and knowing this, they are quite right in not taking them.	0
6325	and quickly degenerates. to the perfect ideal succeeds the government	0
2501	it was lucky, perhaps, that both harry and ron started shouting at snape at the same time; lucky their voices echoed so much in the stone corridor, for in the confused din, it was impossible for him to hear exactly what they were calling him.  he got the gist, however.	1
202	normal for us, said harry, and before his uncle could stop him, he added, you know, owl post. that's what's normal for wizards.	1
21625	himself on the change, and pity them?	0
12217	pythagorean league of three hundred was an aristocracy of virtue. for	0
1755	moody picked up the somersaulting spider and threw it back into the jar.	1
17626	of which we were just now speaking, and his whole life is passed in	0
17792	arms and appurtenances were manufactured; when they were completed, the	0
2769	- and reading between the lines of that skeeter woman's article last month, moody was attacked the night before he started at hogwarts.  yes, i know she says it was another false alarm, sirius said hastily, seeing harry about to speak, but i don't think so, somehow.  i think someone tried to stop him from getting to hogwarts.  i think someone knew their job would be a lot more difficult with him around.  and no one's going to look into it too closely; mad-eye's heard intruders a bit too often.  but that doesn't mean he can't still spot the real thing.  moody was the best auror the ministry ever had.	1
1775	several people looked uneasily around at her, including ron.	1
23343	oligarchical, and some of his desires die, and others are banished;	0
19771	be far better and nobler than that of olympic victors--is the life of	0
6783	that cephalus appears not to care about riches, a quality which he	0
3674	'i was attacked by a hippogriff, and my friend vincent crabbe got a bad bite off a flobberworm, says draco malfoy, a fourth-year student. we all hate hagrid, but we're just too scared to say anything.	1
10519	they make up the mass of the people. when the people meet, they	0
10571	will the parent know what a monster he has been nurturing, and that the	0
19865	but the hero who has distinguished himself, what shall be done to	0
7747	sea-side, nor boiled meats which involve an apparatus of pots and pans;	0
12272	departing glory of hellas. as well might we complain of st. augustine,	0
17622	and the inharmonious is cowardly and boorish?	0
20888	durance and come into a fortune; he takes a bath and puts on a new coat,	0
25389	and things of earth and rock which in wild variety spring up around her	0
827	and that, boys, yelled mr. weasley over the tumult of the crowd below, is why you should never go for looks alone!	1
5857	no spell can reawaken the dead, said dumbledore heavily. all that would have happened is a kind of reverse echo.  a shadow of the living cedric would have emerged from the wand . . . am i correct, harry?	1
6470	years--about poets and sophists and tyrants who are the false teachers	0
13464	which developes the stages of the idea in different countries or at	0
6178	harry, said george weakly, weighing the money bag in his hands, there's got to be a thousand galleons in here.	1
6150	yeah, said harry and ron slowly.	1
25733	immortal and able to endure every sort of good and every sort of evil.	0
18650	and what would you say of unwillingness and dislike and the absence of	0
12442	reflections appear to the majority far-fetched, and to men of science,	0
15932	now the first and greatest of necessities is food, which is the	0
18897	neither will he ever break faith where there have been oaths or	0
15313	if injustice is ignorance; this can no longer be questioned by any one.	0
22896	and you know, i said, that the old servants also, who are supposed to	0
14278	dialogue is narrated by socrates the day after it actually took place to	0
21331	our debt for the account of the parent.	0
18300	the city either the one or the other.	0
5174	malfoy was holding a copy of the daily prophet too. slytherins up and down the table were sniggering, twisting in their seats to see harry's reaction.	1
5588	harry crouched behind the headstone and knew the end had come.  there was no hope ... no help to be had.  and as he heard voldemort draw nearer still, he knew one thing only, and it was beyond fear or reason:  he was not going to die crouching here like a child playing hide-and-seek; he was not going to die kneeling at voldemort s feet... he was going to die upright like his father, and he was going to die trying to defend himself, even if no defense was possible. . . .	1
14419	'hope,' he says, 'cherishes the soul of him who lives in justice	0
18339	in your opinion, is not the courage which the law ordains, and ought to	0
6424	the warp and the woof which run through the whole texture. and when the	0
8936	that can be said of the extravagance of plato's proposals is anticipated	0
23038	then oligarchy, or the form of government in which the rulers are	0
6511	in order to avoid chronological difficulties, such, for example, as	0
1957	only a week away!  said ernie macmillan of hufflepuff, emerging from the crowd, his eyes gleaming.  i wonder if cedric knows?  think i'll go and tell him. . . .	1
8524	aristocracy. thus there are five forms in all, both of states and of	0
23078	also in their penurious, laborious character; the individual only	0
8020	good deal their views of primitive history to their own notions of good	0
24801	as they are or as they appear? you have still to determine this.	0
3067	what? oh yeah . . . ouch . . . interesting, said harry as she stepped on his foot.	1
9879	relative to human needs and opinions; and the mathematical sciences are	0
5413	from far away, above his head, he heard a high, cold voice say, kill the spare.	1
17088	we were saying, when we spoke of the subject-matter, that we had no need	0
16828	enough of the subjects of poetry: let us now speak of the style; and	0
20915	at whose side they may fight and be saved. such an one may be compared	0
14047	the mother; yea and that also in good earnest: peace, son, saith she,	0
13522	them; they rather wish to rest than to pursue high objects. a few	0
4672	you stay here with him!  harry said to krum.  i'll get dumbledore, i'll be quicker, i know where his office is -	1
21474	different degrees of truth, and that the copy is to the original as the	0
21514	i understand, he said, that you are speaking of the province of geometry	0
21161	i omitted the troublesome business of the possession of women, and the	0
11352	counsels? or is any invention attributed to you, as there is to thales	0
24081	very true, i said. but imagine one of these owners, the master say of	0
6830	the thieving must be for the good of friends and the harm of enemies.	0
2117	once the golden plates had been wiped clean, dumbledore stood up again.  a pleasant sort of tension seemed to fill the hall now.  harry felt a slight thrill of excitement, wondering what was coming.  several seats down from them, fred and george were leaning forward, staring at dumbledore with great concentration.	1
3267	who d'you two keep writing to, eh?  said ron.	1
1771	right. . . anyone know any others?	1
19064	for what purpose do you conceive that we have come here, said	0
15545	evil; but that the evil is greater than the good. and so when men have	0
16832	then i must make you understand; and perhaps i may be more intelligible	0
7067	which are desirable for their results only. socrates answers that this	0
7748	and, if i am not mistaken, he nowhere mentions sweet sauces. sicilian	0
20866	was the doer of any great thing either to individuals or to states.	0
4857	look, said harry impatiently, let's say sirius is right, and someone stunned krum to kidnap crouch.  well, they would've been in the trees near us, wouldn't they?  but they waited till i was out of the way until they acted, didn't they?  so it doesn't look like i'm their target, does it?	1
15091	then the pay is not derived by the several artists from their respective	0
802	one hundred thousand wizards gasped as the two seekers, krum and lynch, plummeted through the center of the chasers, so fast that it looked as though they had just jumped from airplanes without parachutes. harry followed their descent through his omnioculars, squinting to see where the snitch was -	1
22756	make all the terms commensurable and agreeable to one another. (probably	0
9591	as being, essence, unity, good, have exerted an extraordinary influence	0
22065	whereas knowledge is the real object of the whole science.	0
18436	i will, but you must show me the way.	0
17791	formed and fed in the womb of the earth, where they themselves and their	0
3990	merlins beard, moody whispered, staring at the map, his magical eye going haywire. this . .. this is some map.  potter!	1
7497	immoral. and so in all religions: the consideration of their morality	0
10104	the confused impressions of sense may be arranged. hence arises	0
7830	the presiding genius of our state.	0
14240	positive meaning. it would be well, if when meditating on the higher	0
1855	it's just an expression, said ron hastily.	1
4418	for a moment, the deadened look in sirius's eyes became more pronounced than ever, as though shutters had closed behind them.	1
22829	also castles which are just nests for their eggs, and in which they will	0
13335	been led to form a higher conception of what was required of us. for	0
9911	and in perfect condition for the great gymnastic trial of the mind.	0
23677	and the more detestable his actions are to the citizens the more	0
